group,skill,assignment_number,participant_id_1,participant_id_2,feedback_1,feedback_2,sim
1-4,Readability,680.0,1,3,Code styling is consistent.,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.4441412
1-4,Readability,680.0,1,4,Code styling is consistent.,Easy to follow and understand,0.11776452
1-4,Readability,680.0,2,3,code is understandable and organised,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.602916
1-4,Readability,680.0,2,4,code is understandable and organised,Easy to follow and understand,0.4177302
1-4,Readability,680.0,3,4,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",Easy to follow and understand,0.3575995
1-4,Readability,672.0,1,2,Generally good readability. Some inconsistent spacing in places.,No comment supplied,0.0970109
1-4,Readability,672.0,1,3,Generally good readability. Some inconsistent spacing in places.,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.429761
1-4,Readability,672.0,1,4,Generally good readability. Some inconsistent spacing in places.,Easy to read ,0.5201738
1-4,Readability,672.0,2,3,No comment supplied,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.065516576
1-4,Readability,672.0,2,4,No comment supplied,Easy to read ,0.169835
1-4,Readability,672.0,3,4,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",Easy to read ,0.19754979
1-4,Readability,251.0,1,2,No comment supplied,The application contains inconsistent indentation,0.042958546
1-4,Readability,251.0,1,3,No comment supplied,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.065516576
1-4,Readability,251.0,1,4,No comment supplied,No comment supplied,0.99999994
1-4,Readability,251.0,2,3,The application contains inconsistent indentation,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.36488435
1-4,Readability,251.0,2,4,The application contains inconsistent indentation,No comment supplied,0.042958546
1-4,Readability,251.0,3,4,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",No comment supplied,0.065516576
1-4,Readability,575.0,1,2,Generally good readability. Some minor erroneous spaces/tabs.,code is understandable and organised,0.3780446
1-4,Readability,575.0,1,3,Generally good readability. Some minor erroneous spaces/tabs.,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.46492046
1-4,Readability,575.0,1,4,Generally good readability. Some minor erroneous spaces/tabs.,"Very easy to follow, variable names clear, well strucutred",0.32028842
1-4,Readability,575.0,2,3,code is understandable and organised,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.602916
1-4,Readability,575.0,2,4,code is understandable and organised,"Very easy to follow, variable names clear, well strucutred",0.37493736
1-4,Readability,575.0,3,4,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.","Very easy to follow, variable names clear, well strucutred",0.46112695
1-4,Readability,223.0,1,2,Good readability.,No comment supplied,0.13692038
1-4,Readability,223.0,1,3,Good readability.,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.24270858
1-4,Readability,223.0,1,4,Good readability.,"Clear, variables well named",0.15117465
1-4,Readability,223.0,2,3,No comment supplied,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.065516576
1-4,Readability,223.0,2,4,No comment supplied,"Clear, variables well named",0.082570195
1-4,Readability,223.0,3,4,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.","Clear, variables well named",0.39411804
1-4,Readability,143.0,1,2,Okay readability. Breaklines between methods would be helpful.,Code readability can be improved by using consistent spacing,0.41049516
1-4,Readability,143.0,1,3,Okay readability. Breaklines between methods would be helpful.,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.29666987
1-4,Readability,143.0,1,4,Okay readability. Breaklines between methods would be helpful.,Code well strucutred and easy to read,0.36340088
1-4,Readability,143.0,2,3,Code readability can be improved by using consistent spacing,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.5195386
1-4,Readability,143.0,2,4,Code readability can be improved by using consistent spacing,Code well strucutred and easy to read,0.5542505
1-4,Readability,143.0,3,4,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",Code well strucutred and easy to read,0.4744448
1-4,Readability,290.0,1,2,Good code readability.,code is understandable and organised,0.60149175
1-4,Readability,290.0,1,3,Good code readability.,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.50765944
1-4,Readability,290.0,1,4,Good code readability.,Easy to read,0.42389074
1-4,Readability,290.0,2,3,code is understandable and organised,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.602916
1-4,Readability,290.0,2,4,code is understandable and organised,Easy to read,0.22467512
1-4,Readability,290.0,3,4,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",Easy to read,0.19754979
1-4,Readability,327.0,1,2,Good readability.,code is understandable and organised,0.2798351
1-4,Readability,327.0,1,3,Good readability.,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.24270858
1-4,Readability,327.0,1,4,Good readability.,Very easy to understand and to read,0.52902323
1-4,Readability,327.0,2,3,code is understandable and organised,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.602916
1-4,Readability,327.0,2,4,code is understandable and organised,Very easy to understand and to read,0.33490175
1-4,Readability,327.0,3,4,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",Very easy to understand and to read,0.28463885
1-4,Readability,219.0,1,2,Generally good readability.,Some method names are misleading,0.149344
1-4,Readability,219.0,1,3,Generally good readability.,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.3091495
1-4,Readability,219.0,1,4,Generally good readability.,Easy to read,0.5770062
1-4,Readability,219.0,2,3,Some method names are misleading,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.32479
1-4,Readability,219.0,2,4,Some method names are misleading,Easy to read,0.07659252
1-4,Readability,219.0,3,4,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",Easy to read,0.19754979
1-4,Readability,481.0,1,2,Good code readability. Some inconsistent styling with if statements.,Code readability can be improved by using consistent spacing,0.5349165
1-4,Readability,481.0,1,3,Good code readability. Some inconsistent styling with if statements.,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.41689974
1-4,Readability,481.0,1,4,Good code readability. Some inconsistent styling with if statements.,No comment supplied,0.10816245
1-4,Readability,481.0,2,3,Code readability can be improved by using consistent spacing,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.5195386
1-4,Readability,481.0,2,4,Code readability can be improved by using consistent spacing,No comment supplied,0.047118604
1-4,Readability,481.0,3,4,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",No comment supplied,0.065516576
1-4,Readability,218.0,1,2,Generally good readability.,code is understandable and organised,0.29575098
1-4,Readability,218.0,1,3,Generally good readability.,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.3091495
1-4,Readability,218.0,1,4,Generally good readability.,Well structure and easy to read,0.5755646
1-4,Readability,218.0,2,3,code is understandable and organised,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.602916
1-4,Readability,218.0,2,4,code is understandable and organised,Well structure and easy to read,0.36549062
1-4,Readability,218.0,3,4,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",Well structure and easy to read,0.3964905
1-4,Readability,453.0,1,2,Generally good readability,The code is somewhat challenging to read.,0.41650042
1-4,Readability,453.0,1,3,Generally good readability,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.2977392
1-4,Readability,453.0,1,4,Generally good readability,Code very well strucutred and easy to understand,0.25201306
1-4,Readability,453.0,2,3,The code is somewhat challenging to read.,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.40321246
1-4,Readability,453.0,2,4,The code is somewhat challenging to read.,Code very well strucutred and easy to understand,0.49350867
1-4,Readability,453.0,3,4,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",Code very well strucutred and easy to understand,0.45290202
1-4,Readability,484.0,1,2,Okay readability. A lot of commented out code.,No comment supplied,0.31639197
1-4,Readability,484.0,1,3,Okay readability. A lot of commented out code.,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.41708654
1-4,Readability,484.0,1,4,Okay readability. A lot of commented out code.,Code easy to read and to understand,0.5782953
1-4,Readability,484.0,2,3,No comment supplied,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.065516576
1-4,Readability,484.0,2,4,No comment supplied,Code easy to read and to understand,0.08038846
1-4,Readability,484.0,3,4,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",Code easy to read and to understand,0.5063919
1-4,Readability,399.0,1,2,No comment supplied,The submission is the same as the original folder,0.10830668
1-4,Readability,399.0,1,3,No comment supplied,No changes were made to the default code provided. Same code as the default files provided. No changes were made.,0.18131073
1-4,Readability,399.0,1,4,No comment supplied,No submission,0.4026196
1-4,Readability,399.0,2,3,The submission is the same as the original folder,No changes were made to the default code provided. Same code as the default files provided. No changes were made.,0.3542772
1-4,Readability,399.0,2,4,The submission is the same as the original folder,No submission,0.47141278
1-4,Readability,399.0,3,4,No changes were made to the default code provided. Same code as the default files provided. No changes were made.,No submission,0.20038149
1-4,Readability,111.0,1,2,"Generally good readability, otherwise.",The code is well organised and meaningful identifier names are used for functions and variables,0.2099728
1-4,Readability,111.0,1,3,"Generally good readability, otherwise.","The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.27483594
1-4,Readability,111.0,1,4,"Generally good readability, otherwise.","Easy to understand, good choice of variable names",0.33307135
1-4,Readability,111.0,2,3,The code is well organised and meaningful identifier names are used for functions and variables,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.60691094
1-4,Readability,111.0,2,4,The code is well organised and meaningful identifier names are used for functions and variables,"Easy to understand, good choice of variable names",0.6430146
1-4,Readability,111.0,3,4,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.","Easy to understand, good choice of variable names",0.37965608
1-4,Readability,361.0,1,2,Generally good readability.,Code uses consistent spacings - Good function and variable names are used.,0.21421936
1-4,Readability,361.0,1,3,Generally good readability.,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.28359085
1-4,Readability,361.0,1,4,Generally good readability.,Easy to follow and understand the code,0.27178085
1-4,Readability,361.0,2,3,Code uses consistent spacings - Good function and variable names are used.,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.42896086
1-4,Readability,361.0,2,4,Code uses consistent spacings - Good function and variable names are used.,Easy to follow and understand the code,0.36594167
1-4,Readability,361.0,3,4,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",Easy to follow and understand the code,0.41359645
1-4,Readability,522.0,1,2,Some inconsistent whitespace.,The code is clean and organised which makes it easy to understand,0.27303034
1-4,Readability,522.0,1,3,Some inconsistent whitespace.,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.3206179
1-4,Readability,522.0,1,4,Some inconsistent whitespace.,"Easy to read and understand, variable names clear",0.2887547
1-4,Readability,522.0,2,3,The code is clean and organised which makes it easy to understand,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.5613946
1-4,Readability,522.0,2,4,The code is clean and organised which makes it easy to understand,"Easy to read and understand, variable names clear",0.5054382
1-4,Readability,522.0,3,4,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.","Easy to read and understand, variable names clear",0.44941872
1-4,Readability,36.0,1,2,Some whitespace inconsistencies and poorly structured code.,Code very easy to understand and meaningful identifier names are used,0.45022693
1-4,Readability,36.0,1,3,Some whitespace inconsistencies and poorly structured code.,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.39060935
1-4,Readability,36.0,1,4,Some whitespace inconsistencies and poorly structured code.,"Easy to read, well structured, good variable names",0.2951811
1-4,Readability,36.0,2,3,Code very easy to understand and meaningful identifier names are used,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.67461896
1-4,Readability,36.0,2,4,Code very easy to understand and meaningful identifier names are used,"Easy to read, well structured, good variable names",0.60897934
1-4,Readability,36.0,3,4,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.","Easy to read, well structured, good variable names",0.4887181
1-4,Readability,274.0,1,2,Code suffers from whitespace inconsistencies and needlessly long lines.,Code uses consistent spacings - Good function and variable names are used.,0.5934904
1-4,Readability,274.0,1,3,Code suffers from whitespace inconsistencies and needlessly long lines.,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.35344213
1-4,Readability,274.0,1,4,Code suffers from whitespace inconsistencies and needlessly long lines.,"Easy to follow the strucure, variable names wisely chosen",0.15733363
1-4,Readability,274.0,2,3,Code uses consistent spacings - Good function and variable names are used.,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.42896086
1-4,Readability,274.0,2,4,Code uses consistent spacings - Good function and variable names are used.,"Easy to follow the strucure, variable names wisely chosen",0.40615985
1-4,Readability,274.0,3,4,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.","Easy to follow the strucure, variable names wisely chosen",0.31574228
1-4,Readability,554.0,1,2,"Code has some blocks that are not easy to understand, and could use some further documentation.",Code is readable with good function and variable names being used,0.4799177
1-4,Readability,554.0,1,3,"Code has some blocks that are not easy to understand, and could use some further documentation.","The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.3770489
1-4,Readability,554.0,1,4,"Code has some blocks that are not easy to understand, and could use some further documentation.","Variables names clear well chosen, easy to follow",0.18395095
1-4,Readability,554.0,2,3,Code is readable with good function and variable names being used,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.3505899
1-4,Readability,554.0,2,4,Code is readable with good function and variable names being used,"Variables names clear well chosen, easy to follow",0.605145
1-4,Readability,554.0,3,4,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.","Variables names clear well chosen, easy to follow",0.34459767
1-4,Readability,316.0,1,2,"Reads well, no inconsistencies.",Code is understandable and well organised,0.21044706
1-4,Readability,316.0,1,3,"Reads well, no inconsistencies.","The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.2168448
1-4,Readability,316.0,1,4,"Reads well, no inconsistencies.","Variables names wisely chosen, easy to follow the code.",0.09043096
1-4,Readability,316.0,2,3,Code is understandable and well organised,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.59249544
1-4,Readability,316.0,2,4,Code is understandable and well organised,"Variables names wisely chosen, easy to follow the code.",0.32641265
1-4,Readability,316.0,3,4,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.","Variables names wisely chosen, easy to follow the code.",0.36677355
1-4,Readability,650.0,1,2,"All caps snake case variables should be reserved for final, absolute variables. Generally good readability otherwise.",Variable and function names are descriptive and accurately reflect their purpose. White space is used between code blocks.,0.40711194
1-4,Readability,650.0,1,3,"All caps snake case variables should be reserved for final, absolute variables. Generally good readability otherwise.","The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.2476891
1-4,Readability,650.0,1,4,"All caps snake case variables should be reserved for final, absolute variables. Generally good readability otherwise.",Easy to read and well structured,0.14469111
1-4,Readability,650.0,2,3,Variable and function names are descriptive and accurately reflect their purpose. White space is used between code blocks.,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.46590254
1-4,Readability,650.0,2,4,Variable and function names are descriptive and accurately reflect their purpose. White space is used between code blocks.,Easy to read and well structured,0.07767893
1-4,Readability,650.0,3,4,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",Easy to read and well structured,0.35311738
1-4,Readability,59.0,1,2,Good readability.,"Variable and function names are descriptive and accurately reflect their purpose. However, absence of indentation in conditional statements reduces readability",0.3364399
1-4,Readability,59.0,1,3,Good readability.,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.21671402
1-4,Readability,59.0,1,4,Good readability.,Easy to read ,0.5468025
1-4,Readability,59.0,2,3,"Variable and function names are descriptive and accurately reflect their purpose. However, absence of indentation in conditional statements reduces readability","The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.40270638
1-4,Readability,59.0,2,4,"Variable and function names are descriptive and accurately reflect their purpose. However, absence of indentation in conditional statements reduces readability",Easy to read ,0.12397134
1-4,Readability,59.0,3,4,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",Easy to read ,0.14944974
1-4,Readability,427.0,1,2,Readability is good.,The application is well organised and easy to understand. Consistent white spacing is used,0.31633568
1-4,Readability,427.0,1,3,Readability is good.,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.24953832
1-4,Readability,427.0,1,4,Readability is good.,"Very good use of variables, easy to follow",0.4415524
1-4,Readability,427.0,2,3,The application is well organised and easy to understand. Consistent white spacing is used,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.4962754
1-4,Readability,427.0,2,4,The application is well organised and easy to understand. Consistent white spacing is used,"Very good use of variables, easy to follow",0.44181275
1-4,Readability,427.0,3,4,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.","Very good use of variables, easy to follow",0.2979684
1-4,Readability,119.0,1,2,Better class and variable naming should be used.,Application contains inconsistent indentation.,0.20562436
1-4,Readability,119.0,1,3,Better class and variable naming should be used.,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.34611723
1-4,Readability,119.0,1,4,Better class and variable naming should be used.,"Easy to read, good variable names and well structured",0.5075919
1-4,Readability,119.0,2,3,Application contains inconsistent indentation.,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.32398945
1-4,Readability,119.0,2,4,Application contains inconsistent indentation.,"Easy to read, good variable names and well structured",-0.008793083
1-4,Readability,119.0,3,4,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.","Easy to read, good variable names and well structured",0.46594843
1-4,Readability,144.0,1,2,Some whitespace inconsistencies. ,Code is readable with good function and variable names being used,0.18382098
1-4,Readability,144.0,1,3,Some whitespace inconsistencies. ,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.27769652
1-4,Readability,144.0,1,4,Some whitespace inconsistencies. ,"Great choice of variable, very well structured, easy and enjoyable to read",0.124183714
1-4,Readability,144.0,2,3,Code is readable with good function and variable names being used,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.3505899
1-4,Readability,144.0,2,4,Code is readable with good function and variable names being used,"Great choice of variable, very well structured, easy and enjoyable to read",0.5261282
1-4,Readability,144.0,3,4,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.","Great choice of variable, very well structured, easy and enjoyable to read",0.30769545
1-4,Readability,612.0,1,2,Generally good readability.,Some variable and function names are difficult to understand,0.2080678
1-4,Readability,612.0,1,3,Generally good readability.,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.28359085
1-4,Readability,612.0,1,4,Generally good readability.,"Good naming of variables, good structure",0.36082655
1-4,Readability,612.0,2,3,Some variable and function names are difficult to understand,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.2841538
1-4,Readability,612.0,2,4,Some variable and function names are difficult to understand,"Good naming of variables, good structure",0.6357603
1-4,Readability,612.0,3,4,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.","Good naming of variables, good structure",0.45163304
1-4,Readability,565.0,1,2,"A significant amount of commented out code. Generally good readability, otherwise.",Code is readable with good function and variable names being used,0.53597206
1-4,Readability,565.0,1,3,"A significant amount of commented out code. Generally good readability, otherwise.","The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.43961912
1-4,Readability,565.0,1,4,"A significant amount of commented out code. Generally good readability, otherwise.",Very easy to read,0.41239557
1-4,Readability,565.0,2,3,Code is readable with good function and variable names being used,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.3505899
1-4,Readability,565.0,2,4,Code is readable with good function and variable names being used,Very easy to read,0.26315415
1-4,Readability,565.0,3,4,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",Very easy to read,0.14457397
1-4,Readability,29.0,1,2,No comment supplied,The submission is the same as the original folder,0.10830668
1-4,Readability,29.0,1,3,No comment supplied,No changes were made to the default code provided.,0.20896818
1-4,Readability,29.0,1,4,No comment supplied,Empty Submission,0.29676557
1-4,Readability,29.0,2,3,The submission is the same as the original folder,No changes were made to the default code provided.,0.24592233
1-4,Readability,29.0,2,4,The submission is the same as the original folder,Empty Submission,0.45048338
1-4,Readability,29.0,3,4,No changes were made to the default code provided.,Empty Submission,0.31477877
1-4,Readability,234.0,1,2,Good readability.,Code uses consistent spacings - Good function and variable names are used.,0.19294767
1-4,Readability,234.0,1,3,Good readability.,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.21671402
1-4,Readability,234.0,1,4,Good readability.,"Great use of variables, easy to understand",0.33039016
1-4,Readability,234.0,2,3,Code uses consistent spacings - Good function and variable names are used.,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.42896086
1-4,Readability,234.0,2,4,Code uses consistent spacings - Good function and variable names are used.,"Great use of variables, easy to understand",0.5073915
1-4,Readability,234.0,3,4,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.","Great use of variables, easy to understand",0.2259478
1-4,Readability,601.0,1,2,Generally good readability.,Code is readable with good function and variable names being used,0.39352614
1-4,Readability,601.0,1,3,Generally good readability.,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.28359085
1-4,Readability,601.0,1,4,Generally good readability.,"Easy to understand, some redundant statements",0.2712186
1-4,Readability,601.0,2,3,Code is readable with good function and variable names being used,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.3505899
1-4,Readability,601.0,2,4,Code is readable with good function and variable names being used,"Easy to understand, some redundant statements",0.2360533
1-4,Readability,601.0,3,4,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.","Easy to understand, some redundant statements",0.18333963
1-4,Readability,629.0,1,2,Some unconvential shorthands are used for some variables. It is ,Code uses consistent spacings - Good function and variable names are used.,0.46284723
1-4,Readability,629.0,1,3,Some unconvential shorthands are used for some variables. It is ,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.23563384
1-4,Readability,629.0,1,4,Some unconvential shorthands are used for some variables. It is ,"Easy to follow, good variables, straightforward",0.24711952
1-4,Readability,629.0,2,3,Code uses consistent spacings - Good function and variable names are used.,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.42896086
1-4,Readability,629.0,2,4,Code uses consistent spacings - Good function and variable names are used.,"Easy to follow, good variables, straightforward",0.30284446
